7 20
5 16 91
6 17 42
3 18 40
6 19 6
17 20 68
8 21 36
7 22 44
6 23 34
11 24 45
23 25 58
19 26 4
13 27 47
15 28 62
9 29 72
21 30 65
27 31 55
5 4 80
25 16 48
5 2 27
30 10 60
9 3 89
23 15 16
14 19 29
7 16 141
29 30
1 2 84
1 3 26
1 4 16
4 5 11
5 6 48
3 7 38
1 8 37
8 9 43
8 10 32
4 11 36
4 12 32
10 13 21
3 14 21
2 15 22
11 16 30
13 17 27
15 18 87
14 19 95
5 20 5
12 21 53
15 22 67
5 23 86
1 24 10
17 25 55
17 26 80
13 27 46
3 28 73
14 29 72
23 26 31
14 25 10
22 7 233
27 29
1 2 69
1 3 36
2 4 82
4 5 58
3 6 87
5 7 42
4 8 70
8 9 77
6 10 8
3 11 4
6 12 8
11 13 36
11 14 44
14 15 14
10 16 9
14 17 60
5 18 82
1 19 50
19 20 24
2 21 3
18 22 97
6 23 93
12 24 79
23 25 49
4 26 10
18 27 91
9 11 72
7 25 38
18 2 57
4 9 14
2 1
1 2 57
2 1 151
27 34
1 2 76
1 3 76
1 4 23
1 5 28
2 6 6
2 7 91
4 8 31
7 9 67
6 10 42
9 11 38
3 12 64
12 13 5
3 14 74
1 15 30
1 16 78
2 17 48
14 18 72
6 19 30
18 20 11
9 21 10
18 22 92
22 23 98
23 24 64
17 25 76
16 26 90
11 27 6
19 22 77
21 10 6
22 7 49
11 25 23
25 3 86
18 26 54
8 9 3
19 17 18
19 15 211
2 1
1 2 63
1 2 217
8 24
1 2 58
1 3 41
1 4 58
2 5 81
1 6 69
1 7 6
7 8 71
5 1 68
3 4 96
7 5 38
6 3 73
2 4 91
6 5 26
7 6 75
6 8 89
1 8 41
7 2 57
3 7 32
3 5 94
5 4 93
3 2 73
6 4 36
3 8 1
7 4 99
8 5 100
18 32
1 2 70
1 3 16
2 4 92
1 5 84
4 6 37
6 7 15
6 8 6
3 9 94
9 10 75
2 11 24
5 12 22
9 13 63
5 14 41
8 15 41
12 16 84
2 17 39
1 18 70
1 12 98
5 13 86
12 8 5
1 9 95
9 11 70
14 10 88
4 12 28
18 15 51
6 16 89
14 9 62
7 12 57
16 1 61
16 7 7
4 17 77
17 6 64
2 18 223
3 3
1 2 45
2 3 36
3 1 6
1 2 253
7 19
1 2 84
1 3 53
3 4 72
3 5 69
3 6 40
1 7 29
5 4 59
2 7 41
4 7 71
7 3 31
1 5 66
4 2 46
7 6 38
6 2 8
7 5 7
2 5 72
4 6 69
2 3 55
4 1 9
4 5 191
31 43
1 2 49
1 3 21
3 4 85
2 5 95
4 6 95
2 7 69
7 8 62
7 9 24
2 10 20
9 11 65
10 12 69
5 13 28
13 14 23
10 15 32
8 16 30
3 17 86
17 18 36
4 19 55
9 20 36
2 21 5
12 22 99
18 23 5
16 24 34
14 25 42
9 26 27
24 27 94
11 28 19
6 29 12
19 30 9
20 31 95
7 29 20
23 30 75
1 16 6
13 29 11
13 20 90
27 17 17
27 2 64
25 6 27
5 17 74
1 20 65
21 16 39
23 16 66
1 15 43
27 25 227
18 29
1 2 61
1 3 20
1 4 50
2 5 60
1 6 61
5 7 1
2 8 9
6 9 8
3 10 11
1 11 4
4 12 33
9 13 66
12 14 93
3 15 36
3 16 39
3 17 6
17 18 59
3 6 59
14 15 71
2 17 5
4 13 12
6 12 79
8 9 63
13 17 91
1 12 29
18 14 80
4 3 31
12 5 41
6 16 13
6 17 66
9 11
1 2 51
1 3 88
3 4 42
4 5 48
3 6 19
5 7 34
3 8 19
2 9 60
5 3 80
9 1 50
6 9 36
8 5 32
12 16
1 2 79
1 3 6
2 4 66
3 5 54
5 6 63
5 7 25
3 8 52
8 9 84
7 10 53
4 11 84
8 12 22
11 8 56
9 11 72
7 1 30
9 3 88
5 11 91
4 9 239
30 35
1 2 90
2 3 59
3 4 12
3 5 45
2 6 32
1 7 78
1 8 76
5 9 75
3 10 29
7 11 63
3 12 73
3 13 17
6 14 95
9 15 99
8 16 13
10 17 28
1 18 32
15 19 75
9 20 83
14 21 45
4 22 75
20 23 34
23 24 60
4 25 6
18 26 7
5 27 69
27 28 50
4 29 53
10 30 95
28 26 79
29 5 62
26 22 8
18 14 52
4 20 26
15 13 37
20 3 76
12 20
1 2 48
2 3 10
1 4 32
3 5 79
1 6 43
2 7 13
3 8 46
1 9 9
2 10 33
6 11 91
11 12 94
4 9 11
11 1 52
6 2 12
3 9 42
6 3 79
1 7 24
9 12 9
1 12 99
10 3 76
2 12 178
23 30
1 2 38
2 3 50
2 4 48
3 5 71
3 6 91
3 7 52
6 8 19
3 9 95
3 10 53
3 11 83
7 12 49
12 13 11
13 14 89
8 15 19
5 16 24
13 17 21
12 18 82
9 19 10
18 20 29
20 21 91
8 22 30
22 23 32
4 19 94
23 12 76
19 21 91
1 3 82
15 23 24
9 2 86
19 15 18
17 8 47
14 20 38
0 0
